subject_id,loc_plot_state1,loc_plot_city1,loc_plot_state2,loc_plot_city2,year_exposure,plot_target1,plot_target2,plot_target3,attack_preparation,changing_target,anticp_fatals_targ,internet_use_plot,extent_plot,violent,primary_event_mass_casualty_inci,q,r,foreign_fighter,criminal_severity,criminal_charges,indict_arrest,current_status,group_membership,actively_recruited,recruiter1,recruiter2,recruiter3,actively_connect,group_competition,role_group,length_group,clique,internet_radicalization,media_radicalization,social_media,social_media_frequency,social_media_platform1,social_media_platform2,social_media_platform3,social_media_platform4,social_media_platform5,social_media_activities1,social_media_activities2,social_media_activities3,social_media_activities4,social_media_activities5,social_media_activities6,social_media_activities7,radicalization_islamist,radicalization_far_right,radicalization_far_left,radicalization_single_issue,ideological_sub_category1,ideological_sub_category2,ideological_sub_category3,loc_habitation_state1,loc_habitation_city1,loc_habitation_state2,loc_habitation_city2,itinerant,external_rad,rad_duration,radical_behaviors,radical_beliefs,us_govt_leader,foreign_govt_leader,event_influence1,event_influence2,event_influence3,event_influence4,radicalization_sequence,radicalization_place,prison_radicalize,broad_ethnicity,age,marital_status,children,gender,religious_background,convert,reawakening,citizenship,residency_status,nativity,time_us_months,immigrant_generation,immigrant_source,education,student,employment_status,work_history,military,military_status_arrest,foreign_military,social_stratum_childhood,social_stratum_adulthood,abuse_child,abuse_adult,abuse_type1,abuse_type2,abuse_type3,psychological,alcohol_drug,radical_friend,radical_family,radical_signif_other,previous_criminal_activity,previous_criminal_activity_type1,previous_criminal_activity_type2,previous_criminal_activity_type3,previous_criminal_activity_age,gang,gang_age_joined,trauma,other_ideologies,angry_us,group_grievance,component_id,component_density,lone_offender,degree_centrality,betweenness_centrality,closeness_centrality
1000,District of Columbia,Washington,Florida,-99,2002,14,,,1,1,3,1,2,1,1,0,-88,1,5,2,4,4,3,1,3,4,,0,0,2,36,0,0,0,,,,,,,,,,,,,,,1,0,0,0,11,,,Florida,Fort Lauderdale,,,1,1,3,6,4,-99,-99,1,,,,-99,1,-99,1,32,2,2,2,8,1,0,United States of America,1,United States of America,504,0,-88,2,1,5,3,0,-88,0,1,2,0,0,-88,,,0,0,3,0,0,3,1,4,,1,1,3,0,0,0,0,13,0.18518518518518517,0,8,0.24153846153846154,0.472727272727272
1001,California,San Francisco,,,2001,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,1,7,2,4,4,3,0,-88,,,2,-99,2,24,0,1,1,,,,,,,,,,,,,,,1,0,0,0,11,,,California,San Francisco,,,1,1,2,10,5,-99,-99,0,,,,1,1,-88,3,20,1,0,2,8,1,0,United States of America,1,United States of America,240,0,-88,3,1,4,-99,0,-88,0,3,-99,0,0,-88,,,0,0,3,0,0,0,-88,,,-88,0,-88,-99,0,1,-99,566,-88.0,1,0,0,0.0
1002,California,Santa Ana,,,1997,-99,,,-99,-99,-99,-99,0,1,-88,-88,-88,1,10,2,3,8,3,1,1,,,1,-99,3,180,1,1,1,,,,,,,,,,,,,,,1,0,0,0,11,,,California,Santa Ana,,,1,1,3,10,5,0,0,0,,,,1,1,0,3,28,2,1,2,11,1,0,United States of America,1,United States of America,228,0,-88,3,0,1,3,0,-88,0,2,2,0,0,-88,,,0,0,3,1,0,3,4,20,,2,0,-88,-99,0,1,1,346,-88.0,0,1,0,1.0
1005,New York,New York,,,1993,1,,,2,0,3,-88,5,1,1,1,1,0,10,2,4,4,2,-99,-99,,,0,0,2,-99,0,,,,,,,,,,,,,,,,,1,0,0,0,11,,,New Jersey,Maplewood,,,0,0,-99,10,5,1,1,0,,,,1,1,-88,4,25,2,1,2,5,0,0,United States of America,2,Kuwait,84,1,Kuwait,5,0,1,4,0,-88,0,2,3,0,0,-88,,,0,0,3,0,0,0,-88,,,-88,0,-88,0,0,1,2,20,0.7602339181286549,0,15,.0735294117647059,0.857142857142857
1006,New York,New York,,,1993,1,,,2,0,3,-88,5,1,1,1,1,0,10,2,4,4,2,1,3,,,1,0,2,60,0,,,,,,,,,,,,,,,,,1,0,0,0,11,,,New Jersey,Jersey City,,,0,0,2,10,5,1,1,-99,,,,1,1,-88,4,25,1,0,2,5,0,0,Jordan,5,West Bank and Gaza Strip; Jordan,60,1,West Bank and Gaza Strip,5,0,-99,-99,0,-88,-99,-99,-99,0,0,-88,,,0,0,3,0,0,-99,-99,,,-99,0,-88,-99,0,1,-99,20,0.7602339181286549,0,15,.0735294117647059,0.857142857142857
1010,New York,New York,,,2003,14,19,,2,1,3,1,3,1,1,0,-88,1,7,2,4,2,3,1,1,,,0,0,3,108,0,,,,,,,,,,,,,,,,,1,0,0,0,11,,,New York,New York,Florida,Miramar,1,1,3,10,5,0,0,1,,,,1,-99,-99,4,27,2,1,2,1,0,0,United States of America,2,Saudi Arabia,324,1,Saudi Arabia,5,0,1,4,0,-88,-99,2,2,0,0,-88,,,0,0,3,2,0,-99,-99,,,-99,0,-88,0,0,1,-99,13,0.18518518518518517,0,8,0.7138461538461538,0.577777777777777
1012,California,Sunnyvale,,,2019,14,,,0,0,1,0,5,1,1,1,0,0,10,2,4,3,0,0,-88,,,0,-88,-88,-88,0,,,,,,,,,,,,,,,,,0,0,0,1,3,,,California,Sunnyvale,,,0,0,-99,10,1,-99,0,-99,,,,-99,0,-88,2,34,-99,-99,2,-99,0,0,United States of America,1,United States of America,408,0,-88,5,0,1,4,1,0,0,2,2,0,0,-88,,,2,0,-99,-99,-99,0,-88,,,-88,0,-88,1,0,0,0,615,-88.0,1,0,0,0.0
1013,New York,Lackawanna,,,2002,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,1,3,1,1,3,,2,0,2,16,0,0,1,,,,,,,,,,,,,,,1,0,0,0,11,,,New York,Lackawanna,,,0,1,2,8,2,0,0,0,,,,3,1,-88,4,23,2,0,2,1,0,-99,United States of America,1,United States of America,96,2,Yemen,3,0,3,-99,0,-88,0,2,2,0,0,-88,,,0,1,2,0,0,1,6,12,,1,0,-88,0,0,0,0,13,0.18518518518518517,0,7,0,0.346666666666666
1014,New York,Lackawanna,,,2002,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,1,3,1,1,,,2,0,2,18,0,0,1,,,,,,,,,,,,,,,1,0,0,0,11,,,New York,Lackawanna,,,0,0,-99,6,2,0,0,0,,,,1,0,-88,4,28,2,3,2,1,0,1,United States of America,1,United States of America,336,0,-88,5,0,1,4,0,-88,0,2,2,0,0,-88,,,0,0,2,0,0,1,-99,,,-99,0,-88,-99,0,-99,-99,13,0.18518518518518517,0,7,0,0.346666666666666
1015,New York,Lackawanna,,,2002,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,4,3,-99,-99,,,2,0,2,15,0,0,1,,,,,,,,,,,,,,,1,0,0,0,11,,,New York,Buffalo,,,-99,1,2,8,-99,-99,-99,-99,,,,-99,-99,-88,4,26,2,3,2,1,0,-99,United States of America,1,United States of America,312,0,-88,3,0,1,4,0,-88,0,2,2,0,0,-88,,,0,0,2,0,0,1,-99,,,2,0,-88,-99,0,-99,-99,13,0.18518518518518517,0,7,0,0.346666666666666
1016,New York,Lackawanna,,,2002,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,1,3,1,1,,,2,0,2,15,0,0,1,,,,,,,,,,,,,,,1,0,0,0,11,,,New York,Lackawanna,,,0,0,2,8,2,0,0,0,,,,1,1,-88,4,25,2,1,2,1,0,1,United States of America,1,United States of America,300,2,Yemen,5,0,1,4,0,-88,0,2,2,0,0,-88,,,0,0,2,0,0,-99,-99,,,-99,0,-88,-99,0,0,0,13,0.18518518518518517,0,7,0,0.346666666666666
1017,New York,Lackawanna,,,2002,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,4,3,1,3,,,2,0,3,-99,0,0,1,,,,,,,,,,,,,,,1,0,0,0,11,,,New York,Lackawanna,,,1,1,2,6,5,1,1,-99,,,,1,-99,-88,4,25,1,0,2,1,0,-99,United States of America,1,United States of America,-99,2,Yemen,3,0,3,3,0,-88,0,-99,2,0,0,-88,,,0,0,2,0,0,-99,-99,,,-99,0,-88,-99,0,1,-99,13,0.18518518518518517,0,7,0,0.346666666666666
1018,New York,Lackawanna,,,2002,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,5,2,4,1,3,1,4,,,2,0,2,24,0,0,1,,,,,,,,,,,,,,,1,0,0,0,11,,,New York,Lackawanna,,,1,0,-99,8,3,-99,-99,-99,,,,1,1,-88,4,24,1,1,2,1,0,-99,United States of America,1,United States of America,288,2,Yemen,3,1,1,4,0,-88,0,1,1,0,0,-88,,,0,0,2,0,0,0,-88,,,-88,0,-88,-99,0,-99,-99,13,0.18518518518518517,0,7,0,0.346666666666666
1019,New York,New York,,,2003,14,19,,1,0,2,1,2,1,1,0,-88,1,5,2,4,4,3,1,3,,,1,-99,1,36,0,1,,,,,,,,,,,,,,,,1,0,0,0,11,,,Ohio,Columbus,,,-99,1,3,7,2,-99,-99,-99,,,,1,-99,-99,6,34,3,0,2,1,0,-99,United States of America,2,Pakistan,108,1,Pakistan,-99,-99,2,4,0,-88,-99,-99,2,0,0,-88,,,1,0,2,0,0,-99,-99,,,-99,0,-88,-99,0,0,-99,55,0.35714285714285715,0,3,0.47619047619047616,0.583333333333333
1020,Virginia,Fairfax,,,2004,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,4,2,4,4,2,0,-88,,,0,-99,3,-99,0,0,1,,,,,,,,,,,,,,,1,0,0,0,11,,,Virginia,Fairfax,,,0,1,3,3,5,0,0,1,,,,1,1,-88,4,41,2,-99,2,1,0,1,United States of America,1,United States of America,492,2,Iraq,11,1,1,4,0,-88,0,3,2,0,0,-88,,,0,0,2,-99,-99,0,-88,,,-88,0,-88,0,0,1,2,5,0.048257080610021784,0,13,0.20915032679738563,0.18707015130674
1021,Virginia,Alexandria,,,2003,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,,,1,0,2,36,0,,1,,,,,,,,,,,,,,,1,0,0,0,11,,,District of Columbia,Washington,,,1,1,3,8,5,1,1,1,,,,3,-99,-88,3,30,2,4,2,-99,1,0,United States of America,1,United States of America,360,0,-88,5,1,1,4,0,-88,0,2,3,0,0,-88,,,0,0,1,0,0,0,-88,,,-88,0,-88,-99,0,1,1,5,0.048257080610021784,0,12,0,0.160566706021251
1022,Virginia,Alexandria,,,2003,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,,,1,0,3,22,0,,1,,,,,,,,,,,,,,,1,0,0,0,11,,,Virginia,Alexandria,,,0,1,2,8,5,0,0,1,,,,-99,2,-88,4,26,1,0,2,1,0,0,Yemen,4,Yemen,120,1,Yemen,-99,0,-99,-99,0,-88,0,3,2,0,0,-88,,,0,0,2,0,0,0,-88,,,-88,0,-88,-99,0,1,1,5,0.048257080610021784,0,13,0.019026870007262116,0.161137440758293
1023,Virginia,Alexandria,,,2003,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,,,1,0,2,21,0,,1,,,,,,,,,,,,,,,1,0,0,0,11,,,Virginia,Fairfax,,,0,1,2,8,5,1,1,1,,,,1,1,-99,6,26,1,-99,2,11,1,0,United States of America; South Korea,2,South Korea,-99,1,South Korea,5,0,-99,-99,0,-88,0,-99,2,0,0,-88,,,0,0,2,0,0,1,20,,,2,0,-88,-99,1,1,3,5,0.048257080610021784,0,12,0,0.160566706021251
1024,Virginia,Alexandria,,,2003,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,,,1,0,2,21,0,,1,,,,,,,,,,,,,,,1,0,0,0,11,,,Virginia,Alexandria,,,1,1,2,8,5,1,1,1,,,,-99,1,-88,4,26,3,-99,2,1,0,-99,United States of America; Pakistan,2,Pakistan,156,1,Pakistan,9,0,1,-99,0,-88,0,-99,-99,0,0,-88,,,0,0,2,0,0,-99,-99,,,-99,0,-88,-99,0,1,3,5,0.048257080610021784,0,12,0,0.160566706021251
1025,Virginia,Alexandria,,,2003,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,,,1,0,2,21,0,,1,,,,,,,,,,,,,,,1,0,0,0,11,,,Pennsylvania,Royersford,Pennsylvania,Norristown,0,1,2,8,5,1,1,1,,,,-99,1,-88,4,30,2,2,2,1,0,-99,Pakistan,4,Pakistan,-99,1,Pakistan,9,0,1,4,0,-88,0,-99,2,0,0,-88,,,0,0,2,0,0,-99,-99,,,-99,0,-88,-99,0,1,3,5,0.048257080610021784,0,12,0,0.160566706021251
1026,Virginia,Alexandria,,,2003,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,5,2,4,4,3,-99,-99,,,1,0,2,26,0,,1,,,,,,,,,,,,,,,1,0,0,0,11,,,Maryland,Suitland,,,0,0,2,10,5,1,1,1,,,,1,2,-88,-99,30,1,0,2,-99,1,-99,United States of America,1,United States of America,360,0,-88,-99,0,-99,-99,1,0,0,-99,-99,0,0,-88,,,0,0,2,0,0,0,-88,,,-88,0,-88,-99,0,1,2,5,0.048257080610021784,0,12,0,0.160566706021251
1027,Virginia,Alexandria,,,2003,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,,,1,0,3,-99,0,,1,,,,,,,,,,,,,,,1,0,0,0,11,,,Maryland,Gaithersburg,,,0,1,2,10,4,1,0,1,,,,-99,2,-88,6,31,2,1,2,1,0,-99,United States of America,1,United States of America,372,0,-88,5,1,1,4,0,-88,0,-99,2,0,0,-88,,,0,0,2,0,0,0,-88,,,-88,0,-88,-99,0,1,1,5,0.048257080610021784,0,12,0,0.160566706021251
1028,Virginia,Alexandria,,,2003,-88,,,-88,-88,-88,-88,0,1,-88,-88,-88,1,7,2,4,4,3,1,4,,,1,0,3,21,0,,1,,,,,,,,,,,,,,,1,0,0,0,11,,,Virginia,Alexandria,,,0,1,2,8,5,1,1,1,,,,-99,1,-88,-99,30,2,3,2,-99,1,-99,United States of America,1,United States of America,342,0,-88,5,0,1,4,1,0,0,-99,2,0,0,-88,,,0,0,2,0,0,-99,-99,,,-99,0,-88,-99,0,1,3,5,0.048257080610021784,0,14,.038108206245461,0.161328588374851
1029,Virginia,Fredericksburg,,,2003,-88,,,-88,-88,-88,-88,0,0,-88,-88,-88,0,5,2,4,4,3,-99,-99,,,1,0,2,36,0,,1,,,,,,,,,,,,,,,1,0,0,0,11,,,Virginia,Falls Church,,,1,1,3,8,5,1,1,1,,,,1,-99,-88,2,35,2,2,2,11,1,0,United States of America,1,United States of America,420,0,-88,5,0,1,4,1,0,0,2,2,0,0,-88,,,0,0,2,0,0,0,-88,,,-88,0,-88,0,0,1,-99,5,0.048257080610021784,0,12,0,0.160566706021251
